bay_id,st_marker_id,status,location,lat,lon
1321,1333W,Unoccupied,"(-37.815353120692706, 144.95793073737923)",-37.815353120692706,144.95793073737923
1842,2551S,Present,"(-37.81382556863488, 144.9608583998361)",-37.81382556863488,144.9608583998361
1844,2555S,Present,"(-37.81387885200328, 144.96067396601816)",-37.81387885200328,144.96067396601816
6573,13842N,Unoccupied,"(-37.81268417714616, 144.94022960275828)",-37.81268417714616,144.94022960275828
6664,9353S,Present,"(-37.82964084140045, 144.96805317908223)",-37.82964084140045,144.96805317908223
1981,3394N,Unoccupied,"(-37.809996004587845, 144.96616377276825)",-37.809996004587845,144.96616377276825
3344,6028N,Unoccupied,"(-37.81042667345797, 144.95655248252592)",-37.81042667345797,144.95655248252592
1164,C1278,Present,"(-37.811581918854074, 144.95913816605173)",-37.811581918854074,144.95913816605173
5162,C1113,Present,"(-37.81552891440721, 144.9609415356895)",-37.81552891440721,144.9609415356895
650,C144,Present,"(-37.80863676596533, 144.97178858700306)",-37.80863676596533,144.97178858700306
5802,12532N,Unoccupied,"(-37.81573200719531, 144.9802101818691)",-37.81573200719531,144.9802101818691
7057,4688Ea,Unoccupied,"(-37.80494402980314, 144.9591612913402)",-37.80494402980314,144.9591612913402
6546,13753W,Unoccupied,"(-37.81276725605508, 144.9388312909689)",-37.81276725605508,144.9388312909689
2488,C2874,Unoccupied,"(-37.810709013284594, 144.9676187371634)",-37.810709013284594,144.9676187371634
1162,C1270,Unoccupied,"(-37.81162744503793, 144.9591589722512)",-37.81162744503793,144.9591589722512
5260,4519W,Unoccupied,"(-37.81110016386242, 144.95316333042658)",-37.81110016386242,144.95316333042658
3062,5184E,Unoccupied,"(-37.811133103313495, 144.95747725056873)",-37.811133103313495,144.95747725056873
2272,3976N,Unoccupied,"(-37.81279430697417, 144.95250594273142)",-37.81279430697417,144.95250594273142
2032,3492N,Unoccupied,"(-37.81250402156282, 144.95759376468396)",-37.81250402156282,144.95759376468396
5157,C1123,Present,"(-37.81536612643005, 144.9608668844973)",-37.81536612643005,144.9608668844973
5909,C9076,Present,"(-37.80294280087932, 144.96766992368654)",-37.80294280087932,144.96766992368654
6123,C13596,Unoccupied,"(-37.81953717751574, 144.944832602833)",-37.81953717751574,144.944832602833
1286,4478E,Unoccupied,"(-37.81288172787934, 144.95423720108107)",-37.81288172787934,144.95423720108107
1732,2339S,Unoccupied,"(-37.8119049138685, 144.97144518199067)",-37.8119049138685,144.97144518199067
2322,2886N,Unoccupied,"(-37.8108887374072, 144.96669066831026)",-37.8108887374072,144.96669066831026
6162,13214N,Present,"(-37.81869043396908, 144.9474187328781)",-37.81869043396908,144.9474187328781
4446,C7738,Unoccupied,"(-37.80314276449994, 144.95043863536836)",-37.80314276449994,144.95043863536836
2530,C3002,Present,"(-37.813153083839765, 144.95927674392846)",-37.813153083839765,144.95927674392846
5204,C8060,Present,"(-37.81071809241126, 144.95159765863582)",-37.81071809241126,144.95159765863582
5801,12530N,Unoccupied,"(-37.81531419550236, 144.97642288214718)",-37.81531419550236,144.97642288214718
3351,6035S,Present,"(-37.81053313257705, 144.956655725953)",-37.81053313257705,144.956655725953
3353,6039S,Present,"(-37.810600968448426, 144.95642622459144)",-37.810600968448426,144.95642622459144
735,623W,Unoccupied,"(-37.80858815199424, 144.9688449359212)",-37.80858815199424,144.9688449359212
2571,C3132,Unoccupied,"(-37.813551896914205, 144.95791062003298)",-37.813551896914205,144.95791062003298
1125,C1166,Present,"(-37.81363641089597, 144.96007415293735)",-37.81363641089597,144.96007415293735
2492,C2916,Present,"(-37.81241879402437, 144.96183358323538)",-37.81241879402437,144.96183358323538
1755,2376N,Present,"(-37.81221482786226, 144.9698362138891)",-37.81221482786226,144.9698362138891
5751,12440N,Present,"(-37.811839654052385, 144.9757730865461)",-37.811839654052385,144.9757730865461
5585,12204N,Present,"(-37.80928160254693, 144.97411278884573)",-37.80928160254693,144.97411278884573
2244,3932N,Unoccupied,"(-37.81221282649996, 144.9545647431513)",-37.81221282649996,144.9545647431513
6551,13763W,Unoccupied,"(-37.812518322744964, 144.938680454757)",-37.812518322744964,144.938680454757
6064,13050N,Present,"(-37.82104865070899, 144.94339949099586)",-37.82104865070899,144.94339949099586
2562,C3114,Unoccupied,"(-37.81347412678528, 144.95817688879936)",-37.81347412678528,144.95817688879936
5589,12212N,Unoccupied,"(-37.80931145340672, 144.97438307278472)",-37.80931145340672,144.97438307278472
3538,7039S,Unoccupied,"(-37.80762337918691, 144.9583329133774)",-37.80762337918691,144.9583329133774
1138,C1208,Present,"(-37.81255668246071, 144.95958114405022)",-37.81255668246071,144.95958114405022
5036,9512N,Present,"(-37.82837376717498, 144.96640899509504)",-37.82837376717498,144.96640899509504
6232,13342E,Unoccupied,"(-37.815959614273524, 144.94547567829656)",-37.815959614273524,144.94547567829656
3151,5337W,Present,"(-37.81064165521468, 144.95577622577431)",-37.81064165521468,144.95577622577431
2029,3482N,Unoccupied,"(-37.81238386329975, 144.95800530165405)",-37.81238386329975,144.95800530165405
1356,1378E,Unoccupied,"(-37.81214405801068, 144.9567191166223)",-37.81214405801068,144.9567191166223
2240,3928N,Unoccupied,"(-37.812176491599644, 144.954693087978)",-37.812176491599644,144.954693087978
2569,C3128,Unoccupied,"(-37.81353464672647, 144.95796968180505)",-37.81353464672647,144.95796968180505
3136,5317W,Unoccupied,"(-37.811151857665536, 144.95601111302398)",-37.811151857665536,144.95601111302398
1381,1546E,Unoccupied,"(-37.81622394853386, 144.9529762466744)",-37.81622394853386,144.9529762466744
2201,3875S,Present,"(-37.81155386384451, 144.95736336439583)",-37.81155386384451,144.95736336439583
2232,3916N,Unoccupied,"(-37.81206748462557, 144.95507817725837)",-37.81206748462557,144.95507817725837
3530,7021S,Present,"(-37.80745546554947, 144.9589118922884)",-37.80745546554947,144.9589118922884
5783,12483S,Unoccupied,"(-37.8121409749146, 144.9774876674445)",-37.8121409749146,144.9774876674445
6277,13432E,Unoccupied,"(-37.81880073615147, 144.94861070141906)",-37.81880073615147,144.94861070141906
1148,C1230,Unoccupied,"(-37.8122740661467, 144.9594523566359)",-37.8122740661467,144.9594523566359
986,916E,Unoccupied,"(-37.81669895924068, 144.9643855827705)",-37.81669895924068,144.9643855827705
869,738E,Unoccupied,"(-37.8134107772366, 144.9685031670179)",-37.8134107772366,144.9685031670179
1349,1371W,Unoccupied,"(-37.81259443110366, 144.9566753031708)",-37.81259443110366,144.9566753031708
928,C724,Present,"(-37.81362355936621, 144.96847414382597)",-37.81362355936621,144.96847414382597
2589,C3172,Present,"(-37.81394634808545, 144.9565121462851)",-37.81394634808545,144.9565121462851
674,D9W,Unoccupied,"(-37.80913844023186, 144.9718944576597)",-37.80913844023186,144.9718944576597
6581,13858N,Unoccupied,"(-37.81245600838406, 144.9408281056877)",-37.81245600838406,144.9408281056877
2276,3980N,Unoccupied,"(-37.81283001032699, 144.95238035902986)",-37.81283001032699,144.95238035902986
1828,2493S,Unoccupied,"(-37.81045819454332, 144.97237569681084)",-37.81045819454332,144.97237569681084
2274,3978N,Unoccupied,"(-37.81281254121869, 144.95244179766087)",-37.81281254121869,144.95244179766087
6756,13095W,Unoccupied,"(-37.82112441428763, 144.94427966773912)",-37.82112441428763,144.94427966773912
2484,C2866,Present,"(-37.81067401737441, 144.96773848737848)",-37.81067401737441,144.96773848737848
2567,C3124,Unoccupied,"(-37.813517379487685, 144.9580288019522)",-37.813517379487685,144.9580288019522
6140,C13664,Unoccupied,"(-37.819928184708786, 144.94347559823188)",-37.819928184708786,144.94347559823188
2280,3986N,Unoccupied,"(-37.81288412267361, 144.95219002493582)",-37.81288412267361,144.95219002493582
5484,11891W,Unoccupied,"(-37.81044993994803, 144.97809886720984)",-37.81044993994803,144.97809886720984
2046,3517S,Unoccupied,"(-37.813049276657935, 144.95587309871618)",-37.813049276657935,144.95587309871618
5035,9511S,Present,"(-37.82845408997369, 144.96637871858866)",-37.82845408997369,144.96637871858866
2608,C3240,Unoccupied,"(-37.81419338235733, 144.95564743396238)",-37.81419338235733,144.95564743396238
1873,2606N,Unoccupied,"(-37.814921099859625, 144.95689258645808)",-37.814921099859625,144.95689258645808
1855,2581S,Present,"(-37.81448939977687, 144.958592730921)",-37.81448939977687,144.958592730921
3898,C5708,Present,"(-37.805470548552506, 144.95521825928944)",-37.805470548552506,144.95521825928944
1276,4468E,Unoccupied,"(-37.81355506304922, 144.95455077200643)",-37.81355506304922,144.95455077200643
1032,1203W,Unoccupied,"(-37.81268610607768, 144.95951470462205)",-37.81268610607768,144.95951470462205
569,103W,Unoccupied,"(-37.80806338920739, 144.97139714228757)",-37.80806338920739,144.97139714228757
740,634E,Unoccupied,"(-37.808319762391434, 144.96896652050478)",-37.808319762391434,144.96896652050478
5600,12219S,Present,"(-37.80944752218417, 144.97392781937896)",-37.80944752218417,144.97392781937896
581,138E,Unoccupied,"(-37.80817971021878, 144.97170075542795)",-37.80817971021878,144.97170075542795
686,346E,Unoccupied,"(-37.8142358920021, 144.97168527727678)",-37.8142358920021,144.97168527727678
2020,3466N,Unoccupied,"(-37.81212780897975, 144.9588953880802)",-37.81212780897975,144.9588953880802
1853,2574N,Present,"(-37.81435220053646, 144.95889433094547)",-37.81435220053646,144.95889433094547
7059,4692Ea,Unoccupied,"(-37.80484250934886, 144.9591144008784)",-37.80484250934886,144.9591144008784
4262,C6856,Unoccupied,"(-37.80947043997966, 144.95577017845275)",-37.80947043997966,144.95577017845275
1790,2443S,Unoccupied,"(-37.81600562148626, 144.95735389467217)",-37.81600562148626,144.95735389467217
2534,C3018,Present,"(-37.813188012206545, 144.95915716259864)",-37.813188012206545,144.95915716259864
1266,4458E,Unoccupied,"(-37.81380452889191, 144.95466629238138)",-37.81380452889191,144.95466629238138
1843,2553S,Present,"(-37.81386160270314, 144.9607337370378)",-37.81386160270314,144.9607337370378
729,602E,Unoccupied,"(-37.80874640704013, 144.96916170727312)",-37.80874640704013,144.96916170727312
7049,13285S,Unoccupied,"(-37.81950529255448, 144.9494722576837)",-37.81950529255448,144.9494722576837
4188,C6646,Present,"(-37.808541422189045, 144.9591283997378)",-37.808541422189045,144.9591283997378
2006,3435S,Unoccupied,"(-37.81080726932605, 144.96356786363793)",-37.81080726932605,144.96356786363793
6038,13087S,Present,"(-37.82110352876951, 144.9428860551576)",-37.82110352876951,144.9428860551576
5256,11537S,Unoccupied,"(-37.81205330534351, 144.95133608426607)",-37.81205330534351,144.95133608426607
2585,C3160,Present,"(-37.81391238968523, 144.95663058095323)",-37.81391238968523,144.95663058095323
755,C260,Present,"(-37.815312019230106, 144.9720582827795)",-37.815312019230106,144.9720582827795
5999,4006N,Unoccupied,"(-37.81297137011683, 144.95179428069662)",-37.81297137011683,144.95179428069662
2527,C2990,Present,"(-37.81312691716958, 144.9593663293721)",-37.81312691716958,144.9593663293721
6260,13424E,Present,"(-37.81991272957934, 144.94809973740968)",-37.81991272957934,144.94809973740968
6281,13440E,Unoccupied,"(-37.819045377947795, 144.9486200300509)",-37.819045377947795,144.9486200300509
1335,1352E,Unoccupied,"(-37.81434524624904, 144.95772299341988)",-37.81434524624904,144.95772299341988
2170,3832N,Unoccupied,"(-37.810759842187935, 144.95961476064505)",-37.810759842187935,144.95961476064505
1730,2337S,Present,"(-37.811887773314986, 144.97150377912513)",-37.811887773314986,144.97150377912513
5491,12042E,Present,"(-37.812541185439564, 144.98330593647106)",-37.812541185439564,144.98330593647106
6396,13645W,Unoccupied,"(-37.82055326930533, 144.94545400068566)",-37.82055326930533,144.94545400068566
759,C276,Unoccupied,"(-37.81522059173018, 144.97201630106258)",-37.81522059173018,144.97201630106258
2267,3968N,Unoccupied,"(-37.81269370997168, 144.95285989937562)",-37.81269370997168,144.95285989937562
2023,3469S,Present,"(-37.81221953605045, 144.958750493386)",-37.81221953605045,144.958750493386
1149,C1234,Present,"(-37.812225392250056, 144.95943004474935)",-37.812225392250056,144.95943004474935
5167,11600N,Unoccupied,"(-37.81053558817333, 144.9519077120338)",-37.81053558817333,144.9519077120338
2034,3496N,Unoccupied,"(-37.81254213769864, 144.9574632047342)",-37.81254213769864,144.9574632047342
1153,C1248,Present,"(-37.81188955495481, 144.95927882242853)",-37.81188955495481,144.95927882242853
1268,4460E,Unoccupied,"(-37.81375394177102, 144.95464267215107)",-37.81375394177102,144.95464267215107
3318,6002N,Unoccupied,"(-37.809986252439295, 144.95808715364475)",-37.809986252439295,144.95808715364475
887,812E,Unoccupied,"(-37.81129716567956, 144.967533265108)",-37.81129716567956,144.967533265108
2364,3097S,Unoccupied,"(-37.813570912806014, 144.9581638153537)",-37.813570912806014,144.9581638153537
3970,C5908,Unoccupied,"(-37.80455580948302, 144.95388168401863)",-37.80455580948302,144.95388168401863
1141,C1214,Unoccupied,"(-37.812461443505256, 144.95953771885178)",-37.812461443505256,144.95953771885178
703,439W,Present,"(-37.81244024098838, 144.97060510944192)",-37.81244024098838,144.97060510944192
6570,13836N,Present,"(-37.81277699409681, 144.9399820953027)",-37.81277699409681,144.9399820953027
2246,3934N,Unoccupied,"(-37.81223091873842, 144.95450060119254)",-37.81223091873842,144.95450060119254
5376,11726E,Present,"(-37.80986458310545, 144.97298774989667)",-37.80986458310545,144.97298774989667
2073,3568N,Present,"(-37.813732385928304, 144.9532908065424)",-37.813732385928304,144.9532908065424
6007,13013S,Unoccupied,"(-37.81994714961263, 144.95142567137765)",-37.81994714961263,144.95142567137765
5602,12223S,Unoccupied,"(-37.80946232715752, 144.97406125740736)",-37.80946232715752,144.97406125740736
1287,4479W,Present,"(-37.812957346882875, 144.95402114693962)",-37.812957346882875,144.95402114693962
2242,3930N,Present,"(-37.81219457073095, 144.9546289525064)",-37.81219457073095,144.9546289525064
5902,C9044,Present,"(-37.80289673434031, 144.96725077727274)",-37.80289673434031,144.96725077727274
5852,C9110,Present,"(-37.79839474564582, 144.96467962214246)",-37.79839474564582,144.96467962214246
6303,13363W,Unoccupied,"(-37.819170503440816, 144.94937846771063)",-37.819170503440816,144.94937846771063
1979,3390N,Unoccupied,"(-37.80995878198298, 144.96629132090578)",-37.80995878198298,144.96629132090578
6292,13462E,Present,"(-37.82005375632825, 144.94865885967275)",-37.82005375632825,144.94865885967275
1334,1351W,Present,"(-37.81440790876855, 144.95750294713008)",-37.81440790876855,144.95750294713008
6424,13675W,Unoccupied,"(-37.82102321088048, 144.9462295364608)",-37.82102321088048,144.9462295364608
2060,3547S,Present,"(-37.81333600840148, 144.95486116843458)",-37.81333600840148,144.95486116843458
2063,3553S,Unoccupied,"(-37.81339273486934, 144.95466609741413)",-37.81339273486934,144.95466609741413
1862,2593S,Unoccupied,"(-37.814838805458926, 144.9573701253143)",-37.814838805458926,144.9573701253143
5621,12266N,Unoccupied,"(-37.809621831825645, 144.97702329277033)",-37.809621831825645,144.97702329277033
6036,13083S,Present,"(-37.82113479065242, 144.94301661517727)",-37.82113479065242,144.94301661517727
6256,13416E,Unoccupied,"(-37.81973947127898, 144.94791536302006)",-37.81973947127898,144.94791536302006
3059,5181W,Present,"(-37.811225166009436, 144.95738072878697)",-37.811225166009436,144.95738072878697
3028,5125W,Present,"(-37.80331620166535, 144.95709440292953)",-37.80331620166535,144.95709440292953
5570,12073W,Present,"(-37.81137241921245, 144.98326684358074)",-37.81137241921245,144.98326684358074
5227,11508N,Unoccupied,"(-37.81163340933933, 144.9524055762062)",-37.81163340933933,144.9524055762062
5246,11517S,Unoccupied,"(-37.81178939835263, 144.9522699693066)",-37.81178939835263,144.9522699693066
2898,4856E,Unoccupied,"(-37.80957087939339, 144.95834610669692)",-37.80957087939339,144.95834610669692
5251,11527S,Present,"(-37.81187876420586, 144.9519544585611)",-37.81187876420586,144.9519544585611
3909,C5732,Present,"(-37.805128137732524, 144.9552798098799)",-37.805128137732524,144.9552798098799
6895,14237W,Present,"(-37.795307556404154, 144.96477966621853)",-37.795307556404154,144.96477966621853
6575,13846N,Unoccupied,"(-37.812627098892406, 144.94037949685685)",-37.812627098892406,144.94037949685685
6399,13651W,Unoccupied,"(-37.82036941672416, 144.9454059469815)",-37.82036941672416,144.9454059469815
2204,3878N,Unoccupied,"(-37.81148038722951, 144.95713182848573)",-37.81148038722951,144.95713182848573
1387,1559W,Present,"(-37.814690652790546, 144.95201394576083)",-37.814690652790546,144.95201394576083
6538,13778E,Present,"(-37.81326599137738, 144.93925177789228)",-37.81326599137738,144.93925177789228
2260,3957S,Unoccupied,"(-37.81272760636034, 144.9532360550191)",-37.81272760636034,144.9532360550191
2377,3186N,Unoccupied,"(-37.81392104874688, 144.95625892417888)",-37.81392104874688,144.95625892417888
2541,C3046,Unoccupied,"(-37.81324922509783, 144.95894759013134)",-37.81324922509783,144.95894759013134
1854,2579S,Unoccupied,"(-37.81446824154895, 144.95866636601787)",-37.81446824154895,144.95866636601787
6073,13211S,Unoccupied,"(-37.81877643406992, 144.9478037574722)",-37.81877643406992,144.9478037574722
1337,1354E,Present,"(-37.8142950825728, 144.9576998855349)",-37.8142950825728,144.9576998855349
1845,2557S,Present,"(-37.81389608901581, 144.96061419972295)",-37.81389608901581,144.96061419972295
2021,3467S,Unoccupied,"(-37.81219338867791, 144.95884122060596)",-37.81219338867791,144.95884122060596
2253,3947S,Unoccupied,"(-37.812635265370204, 144.95356275454515)",-37.812635265370204,144.95356275454515
1740,2348N,Unoccupied,"(-37.81186443337508, 144.97103114566687)",-37.81186443337508,144.97103114566687
4021,C6080,Present,"(-37.80509578599583, 144.952273134583)",-37.80509578599583,144.952273134583
1382,1547W,Present,"(-37.815806566683094, 144.9524964860929)",-37.815806566683094,144.9524964860929
5286,1601W,Unoccupied,"(-37.8115598025179, 144.95056737162855)",-37.8115598025179,144.95056737162855
2188,3858N,Unoccupied,"(-37.811207914228305, 144.95807183421022)",-37.811207914228305,144.95807183421022
6613,13855S,Present,"(-37.81408225613303, 144.9416511830292)",-37.81408225613303,144.9416511830292
6544,13749W,Present,"(-37.81343950265885, 144.9392381621047)",-37.81343950265885,144.9392381621047
6470,13800N,Present,"(-37.81379011622514, 144.940138286151)",-37.81379011622514,144.940138286151
5782,12481S,Unoccupied,"(-37.812133806906516, 144.97742213666015)",-37.812133806906516,144.97742213666015
1864,2595S,Present,"(-37.814858376610786, 144.95730175782097)",-37.814858376610786,144.95730175782097
6659,11539S,Unoccupied,"(-37.811950464847044, 144.9516998567733)",-37.811950464847044,144.9516998567733
3555,7081S,Unoccupied,"(-37.808902940538886, 144.95381844311694)",-37.808902940538886,144.95381844311694
2367,3103S,Unoccupied,"(-37.81363587840012, 144.95793913482046)",-37.81363587840012,144.95793913482046
3717,7720N,Unoccupied,"(-37.80335990572338, 144.95322523876138)",-37.80335990572338,144.95322523876138
1328,1344E,Unoccupied,"(-37.81485886000729, 144.9579582309596)",-37.81485886000729,144.9579582309596
2195,3868N,Unoccupied,"(-37.81131729387184, 144.95769477004592)",-37.81131729387184,144.95769477004592
3312,5996N,Present,"(-37.80979852329118, 144.958756130574)",-37.80979852329118,144.958756130574
5636,12267S,Unoccupied,"(-37.80969521373538, 144.97635254554928)",-37.80969521373538,144.97635254554928
2380,3197S,Unoccupied,"(-37.81409748254035, 144.95633046014993)",-37.81409748254035,144.95633046014993
2027,3477S,Unoccupied,"(-37.81229907229617, 144.95847561141323)",-37.81229907229617,144.95847561141323
702,437W,Present,"(-37.81249094262977, 144.97062874997175)",-37.81249094262977,144.97062874997175
4337,C7028,Present,"(-37.80742552845439, 144.95868946068273)",-37.80742552845439,144.95868946068273
