X,Y,bay_id,st_marker_,status,location,lat,lon,xdate,xsource,mccid_str,xorg,mccid_int,name,mccid_gis,maplabel
144.971778092482282,-37.808886411152152,629,89W,Unoccupied,"(-37.80888641115215, 144.97177809248228)",-37.808886411152152,144.971778092482282,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.954949759000613,-37.812103818145971,2235,3920N,Unoccupied,"(-37.81210381814597, 144.9549497590006)",-37.812103818145971,144.954949759000613,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.95765771835778,-37.812485356709487,2031,3490N,Unoccupied,"(-37.81248535670949, 144.95765771835778)",-37.812485356709487,144.957657718357780,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.953301216302975,-37.812709192564839,2258,3955S,Present,"(-37.81270919256484, 144.95330121630298)",-37.812709192564839,144.953301216302975,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.978298250969885,-37.810691433504608,5461,11876E,Unoccupied,"(-37.81069143350461, 144.97829825096989)",-37.810691433504608,144.978298250969885,20091109.0000000000000000000000000000000,Mapbase,,GIS Team,3002.0000000000000000000000000000000,,13.0000000000000000000000000000000,
144.951736385921521,-37.812987847952414,6000,4008N,Unoccupied,"(-37.812987847952414, 144.95173638592152)",-37.812987847952414,144.951736385921521,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.973570976776784,-37.812787598671235,596,43W,Unoccupied,"(-37.812787598671235, 144.97357097677678)",-37.812787598671235,144.973570976776784,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.960034862075986,-37.813271207639929,1028,1194E,Unoccupied,"(-37.81327120763993, 144.960034862076)",-37.813271207639929,144.960034862075986,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.958459776334564,-37.814527569132352,1857,2585S,Unoccupied,"(-37.81452756913235, 144.95845977633456)",-37.814527569132352,144.958459776334564,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.957857062179471,-37.813659387985808,2368,3105S,Unoccupied,"(-37.81365938798581, 144.95785706217947)",-37.813659387985808,144.957857062179471,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.938992464082617,-37.812836437891377,6559,13780E,Unoccupied,"(-37.81283643789138, 144.93899246408262)",-37.812836437891377,144.938992464082617,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.93895932366371,-37.81278165170125,6560,13782E,Unoccupied,"(-37.81278165170125, 144.9389593236637)",-37.812781651701250,144.938959323663710,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.953185991237234,-37.811148750797429,5259,4517W,Unoccupied,"(-37.81114875079743, 144.95318599123723)",-37.811148750797429,144.953185991237234,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.957999211823221,-37.813526021826746,2568,C3126,Unoccupied,"(-37.813526021826746, 144.95799921182322)",-37.813526021826746,144.957999211823221,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.960079324770163,-37.813369121633229,1026,1188E,Unoccupied,"(-37.81336912163323, 144.96007932477016)",-37.813369121633229,144.960079324770163,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.954595760122203,-37.813652611368987,1272,4464E,Present,"(-37.81365261136899, 144.9545957601222)",-37.813652611368987,144.954595760122203,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.960390434773672,-37.814327985862604,1111,C1138,Present,"(-37.814327985862604, 144.96039043477367)",-37.814327985862604,144.960390434773672,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3000.0000000000000000000000000000000,,15.0000000000000000000000000000000,
144.952141626805627,-37.811825749221001,5248,11521S,Unoccupied,"(-37.811825749221, 144.95214162680563)",-37.811825749221001,144.952141626805627,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.944359309390848,-37.819673337996456,6131,C13628,Unoccupied,"(-37.819673337996456, 144.94435930939085)",-37.819673337996456,144.944359309390848,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3008.0000000000000000000000000000000,,14.0000000000000000000000000000000,
144.954347741889933,-37.807517699451083,3202,5459W,Present,"(-37.80751769945108, 144.95434774188993)",-37.807517699451083,144.954347741889933,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
144.955014001876691,-37.812085652084235,2234,3918N,Present,"(-37.812085652084235, 144.9550140018767)",-37.812085652084235,144.955014001876691,20030701.0000000000000000000000000000000,Mapbase,,GIS Team,3003.0000000000000000000000000000000,,4.0000000000000000000000000000000,
